cruise,longitude,latitude,depth,temp,sal,oxy,phosphate,nitrate,silicate,barium
GA02,308.35901,-50.594,10,10.1912,33.970501,288.5,1.014,13.33,0,48.783298
GA02,308.35901,-50.594,25,9.7145,33.991001,289.399994,2.367,13.04,0,44.298702
GA02,308.35901,-50.594,51,9.0286,33.999599,287.899994,2.336,13.86,0,52.265789
GA02,308.35901,-50.594,74,6.1085,34.006199,294.200012,2.291,19.32,1.91,67.36132
GA02,308.35901,-50.594,100,4.7131,34.0275,298.799988,2.253,22.51,5.69,69.153084
GA02,308.35901,-50.594,151,3.8267,34.0797,297.100006,2.237,25.52,11.77,65.998779
GA02,308.35901,-50.594,200,3.3045,34.054699,298.100006,2.228,26.65,14.58,66.623955
GA02,308.35901,-50.594,250,2.9762,34.0695,286.600006,2.214,28.040001,18.85,65.068123
GA02,308.35901,-50.594,300,2.7972,34.093899,274.700012,1.011,29.09,22.780001,69.1381
GA02,308.35901,-50.594,400,2.8019,34.167999,249.300003,1.113,30.77,30.27,69.678802
GA02,308.35901,-50.594,500,2.3865,34.207199,238.800003,1.464,32.23,38.310001,71.128098
GA02,308.35901,-50.594,599,2.6904,34.322899,206.600006,1.655,33.619999,48.900002,76.899078
GA02,308.35901,-50.594,701,2.7246,34.386398,191.300003,2.194,34.34,55.740002,78.953041
GA02,308.35901,-50.594,800,2.6418,34.444199,181.100006,1.734,34.810001,62.529999,80.519936
GA02,308.35901,-50.594,902,2.5515,34.497398,174.699997,1.812,34.93,68.639999,87.545555
GA02,308.35901,-50.594,987,2.4772,34.5275,171.800003,1.892,34.939999,72.080002,88.50515
GA02,308.35901,-50.594,1248,2.2934,34.6152,170.199997,1.963,34.27,81.010002,93.620232
GA02,308.35901,-50.594,1497,2.129,34.6688,172.600006,2.075,33.580002,87.449997,93.691277
GA02,308.35901,-50.594,1749,1.9863,34.695801,176.699997,2.18,33.169998,92.209999,96.490356
GA02,308.35901,-50.594,1874,1.913,34.703999,179,2.272,32.900002,94.489998,98.202492
GA02,308.35901,-50.594,2001,1.8204,34.7118,182.300003,2.326,32.630001,95.830002,100.914055
GA02,308.35901,-50.594,2123,1.6725,34.715099,186.100006,2.354,32.5,100.099998,100.622658
GA02,308.35901,-50.594,2248,1.3411,34.717899,195.199997,2.375,32.279999,106.379997,102.449188
GA02,308.35901,-50.594,2312,1.2662,34.7155,197.699997,2.185,32.200001,107.949997,105.327576
GA02,311.24371,-48.9071,10,10.1234,33.970299,285.100006,1.033,13.98,0.05,51.236084
GA02,311.24371,-48.9071,25,9.7147,33.9692,289.100006,1.07,14.35,0,49.415833
GA02,311.24371,-48.9071,45,7.8559,33.9632,294.299988,1.281,16.9,0.51,56.876884
GA02,311.24371,-48.9071,75,6.0867000000000004,33.980301,296.399994,1.467,19.23,1.93,65.778549
GA02,311.24371,-48.9071,98,4.9291,33.9925,298.600006,1.629,21.469999,4.64,64.812363
GA02,311.24371,-48.9071,150,3.8778,34.037899,296.100006,1.773,25.790001,10.47,65.288353
GA02,311.24371,-48.9071,199,3.5077,34.058899,296.799988,1.781,26.1,13.06,63.235214
GA02,311.24371,-48.9071,248,3.2954,34.061901,292.299988,1.825,26.639999,14.95,63.931435
GA02,311.24371,-48.9071,298,2.9933,34.053101,289.200012,1.876,27.379999,17.07,65.693298
GA02,311.24371,-48.9071,400,2.8954,34.114101,265.200012,1.989,29.370001,24.040001,63.161011
GA02,311.24371,-48.9071,497,3.034,34.207199,234.600006,2.118,31.18,31.690001,68.328987
GA02,311.24371,-48.9071,746,2.8954,34.372299,195.100006,2.315,33.630001,49.82,76.442078
GA02,311.24371,-48.9071,1003,2.7559,34.513199,177.5,2.336,34.029999,61.959999,81.163353
GA02,311.24371,-48.9071,1253,2.7629,34.625198,177.699997,2.232,32.59,63.950001,80.242867
GA02,311.24371,-48.9071,1504,2.5711,34.686699,179.600006,2.183,31.889999,70.970001,80.012001
GA02,311.24371,-48.9071,2007,2.1219,34.7271,182.899994,2.17,31.469999,84.919998,88.760872
GA02,311.24371,-48.9071,2509,1.7502,34.745201,194.199997,2.122,30.92,92.089996,92.774818
GA02,311.24371,-48.9071,3004,1.2798,34.726101,199.399994,2.176,31.58,103.769997,93.69838
GA02,311.24371,-48.9071,3504,0.9228,34.706699,205.199997,2.176,31.51,103.949997,97.548897
GA02,311.24371,-48.9071,4001,0.5399,34.687199,213.399994,2.261,32.639999,119.730003,103.84929700000001
GA02,311.24371,-48.9071,4499,0.3541,34.676399,218.399994,2.278,32.959999,123.959999,105.327576
GA02,311.24371,-48.9071,5000,0.3228,34.672199,221.800003,2.287,32.970001,124.839996,104.865616
GA02,311.24371,-48.9071,5497,0.3452,34.669102,224.399994,2.299,32.959999,125.349998,106.663712
GA02,311.24371,-48.9071,5797,0.3705,34.668201,224.800003,2.305,33.02,125.739998,107.146996
GA02,312.79349,-46.9243,10,17.0392,34.6213,244.199997,0.176,0.21,0.32,47.006516
GA02,312.79349,-46.9243,26,16.9172,34.674599,242,0.177,0.35,0.41,46.92123
GA02,312.79349,-46.9243,49,14.2644,35.0737,225.600006,0.522,5.96,1.43,48.570084
GA02,312.79349,-46.9243,75,13.6139,35.253399,217,0.632,8.16,2.35,46.537449
GA02,312.79349,-46.9243,99,12.6229,35.1026,217.899994,0.775,10.52,2.81,46.220459
GA02,312.79349,-46.9243,149,11.0476,34.910801,223.199997,0.939,13.25,3.64,52.138329
GA02,312.79349,-46.9243,200,10.47,34.8493,229.399994,1.024,14.44,4,48.564873
GA02,312.79349,-46.9243,250,7.8981,34.4785,237.100006,1.371,20.01,6.36,54.028355
GA02,312.79349,-46.9243,300,6.879,34.363899,239.5,1.535,22.459999,7.98,56.267101
GA02,312.79349,-46.9243,401,4.7279,34.154999,275,1.701,24.9,9.93,58.683521
GA02,312.79349,-46.9243,502,4.2347,34.134701,278.100006,1.737,25.639999,12.05,61.636753
GA02,312.79349,-46.9243,751,3.487,34.208099,238.199997,2.006,30,26.93,67.256241
GA02,312.79349,-46.9243,1002,2.9848,34.309898,207,2.192,32.639999,42.669998,73.209625
GA02,312.79349,-46.9243,1250,2.8242,34.446098,182.100006,2.298,34.099998,57.98,76.47049
GA02,312.79349,-46.9243,1501,2.7462,34.573601,175.399994,2.25,33.43,65.269997,81.095383
GA02,312.79349,-46.9243,2001,2.7087,34.731701,187.399994,2.029,30.15,65.650002,82.068665
GA02,312.79349,-46.9243,2502,2.6975,34.834499,212.5,1.741,25.9,55.23,77.969498
GA02,312.79349,-46.9243,3001,1.9668,34.773701,202.199997,1.967,29.1,81.519997,88.355957
GA02,312.79349,-46.9243,3502,1.3737,34.733601,202,2.107,31.02,100.870003,96.717697
GA02,312.79349,-46.9243,4001,0.8991,34.705502,208.399994,2.18,32.009998,112.559998,99.55941
GA02,312.79349,-46.9243,4500,0.525,34.684399,215.5,2.233,32.619999,120.57,101.788231
GA02,312.79349,-46.9243,5001,0.3654,34.674,220.399994,2.238,32.950001,124.290001,109.407066
GA02,312.79349,-46.9243,5501,0.3356,34.669399,222.199997,2.242,32.990002,126.230003,107.530785
GA02,312.79349,-46.9243,5715,0.3357,34.667801,223.100006,2.256,32.950001,126.900002,108.22728
GA02,314.46069,-44.7052,9,16.924999,34.554298,247,0.176,0,0,37.817005
GA02,314.46069,-44.7052,22,16.587799,34.529301,250.100006,0.203,0,0,39.039433
GA02,314.46069,-44.7052,50,13.8827,34.536201,244.100006,0.507,3.14,0,40.034428
GA02,314.46069,-44.7052,71,10.2463,34.555801,249.899994,0.885,10.84,1.1,58.404305
GA02,314.46069,-44.7052,101,8.8029,34.5252,256.100006,1.03,13.78,2.6,54.987144
GA02,314.46069,-44.7052,150,8.3143,34.537201,258.600006,1.166,16.09,3.68,52.208931
GA02,314.46069,-44.7052,199,7.2571,34.4207,252.699997,1.783,26.09,12.71,53.12582
GA02,314.46069,-44.7052,250,5.6619,34.252102,247,1.672,24.889999,8.71,57.25499
GA02,314.46069,-44.7052,300,4.8733,34.1828,252.699997,1.767,26.370001,10.73,60.357983
GA02,314.46069,-44.7052,399,4.1365,34.1586,257.600006,1.857,27.48,14.82,61.743317
GA02,314.46069,-44.7052,501,3.6405,34.175301,247.600006,1.973,29.24,21.34,63.928577
GA02,314.46069,-44.7052,750,2.995,34.283901,213.600006,2.206,32.619999,39.470001,68.172691
GA02,314.46069,-44.7052,999,2.8202,34.437302,184.100006,2.331,34.099998,56.029999,76.278679
GA02,314.46069,-44.7052,1250,2.7246,34.5709,175.699997,2.305,33.43,64.110001,79.667419
GA02,314.46069,-44.7052,1501,2.7047,34.668201,179,2.195,32,66.199997,80.150513
GA02,314.46069,-44.7052,1751,2.7437,34.751202,191.300003,2.016,29.57,62.32,79.823715000000007
GA02,314.46069,-44.7052,2002,2.6529,34.7924,201.300003,1.921,28.07,61.5,77.894081
GA02,314.46069,-44.7052,2501,2.3023,34.815399,211.399994,1.839,26.940001,65.290001,83.937096
GA02,314.46069,-44.7052,3000,1.5191,34.747601,202.699997,2.083,30.530001,94.949997,92.604317
GA02,314.46069,-44.7052,3501,0.9681,34.711399,206.600006,2.176,31.870001,110.089996,99.523888
GA02,314.46069,-44.7052,4001,0.5128,34.686501,214.399994,2.253,32.540001,119.220001,101.923264
GA02,314.46069,-44.7052,4499,0.2993,34.674198,219.800003,2.283,32.950001,123.760002,105.576324
GA02,314.46069,-44.7052,5000,0.2618,34.669102,221.600006,2.301,33.150002,126.839996,109.023277
GA02,314.46069,-44.7052,5048,0.2669,34.6688,220.800003,2.303,33.43,126.040001,106.983536
GA02,315.9762,-42.3737,8,17.133301,34.5271,255.100006,0.204,0.02,0,41.512711
GA02,315.9762,-42.3737,23,16.313601,34.577702,256.700012,0.207,0,0,42.50771
GA02,315.9762,-42.3737,24,16.346701,34.579601,256.5,0.201,0,0,41.503216
GA02,315.9762,-42.3737,73,10.6651,34.591801,248,0.837,10.25,1.19,69.89193
GA02,315.9762,-42.3737,100,9.5237,34.638401,246.699997,0.995,13.51,2.95,55.178959
GA02,315.9762,-42.3737,150,9.0712,34.678001,254.5,1.052,14.61,3.69,51.427147
GA02,315.9762,-42.3737,200,8.0772,34.543999,249.5,1.245,17.950001,5.09,54.760387
GA02,315.9762,-42.3737,247,6.2829,34.312599,247.800003,1.548,22.84,7.56,56.145142
GA02,315.9762,-42.3737,300,5.3713,34.219299,253,1.679,24.98,9.46,57.468204
GA02,315.9762,-42.3737,400,4.4428,34.1591,264.700012,1.759,26.26,12.13,59.136044
GA02,315.9762,-42.3737,500,3.9272,34.149502,263.100006,1.817,27.290001,15.89,61.189182
GA02,315.9762,-42.3737,748,3.1824,34.236401,227.800003,2.098,31.309999,32.139999,74.978592
GA02,315.9762,-42.3737,999,2.9145,34.377899,193.399994,2.264,33.630001,50.380001,70.680344
